mode,map,team,player,kills,deaths,hill time,damage,first blood,major  ,type,opponent,score,map number,W/L,rounds,,series k/d,hardpoint k/d,search & destroy k/d,control k/d,total kills,total deaths,all hardpoint k/d,all search & destroy k/d,all control k/d,overall k/d
Search & Destroy,Red Card,Toronto Ultra,Beans,5,8,,1157,0,Major 1,Online,Atlanta Faze,6-3,2,W,9,,1.06,,0.63,,572,557,1.03,1.24,0.95,1.03
Search & Destroy,Red Card,Toronto Ultra,Cleanx,10,4,,1344,2,Major 1,Online,Atlanta Faze,6-3,2,W,9,,1.27,,2.50,,638,576,1.04,1.25,1.22,1.11
Search & Destroy,Red Card,Toronto Ultra,Insight,3,4,,530,1,Major 1,Online,Atlanta Faze,6-3,2,W,9,,0.89,,0.75,,486,532,0.92,1.11,0.85,0.91
Search & Destroy,Red Card,Toronto Ultra,JoeDeceives,9,5,,1059,3,Major 1,Online,Atlanta Faze,6-3,2,W,9,,0.91,,1.80,,572,569,0.96,1.50,0.95,1.01
Control,Vault,Atlanta Faze,Abezy,24,17,,2682,,Major 1,Online,Toronto Ultra,1-3,3,L,4,,1.11,,,1.41,531,526,1.00,1.07,1.00,1.01
Control,Vault,Atlanta Faze,Cellium,16,19,,2041,,Major 1,Online,Toronto Ultra,1-3,3,L,4,,0.94,,,0.84,532,463,1.12,1.28,1.15,1.15
Control,Vault,Atlanta Faze,Drazah,12,23,,2102,,Major 1,Online,Toronto Ultra,1-3,3,L,4,,0.90,,,0.52,520,525,1.09,0.75,0.90,0.99
Control,Vault,Atlanta Faze,Simp,18,19,,2635,,Major 1,Online,Toronto Ultra,1-3,3,L,4,,0.93,,,0.95,536,496,1.07,1.07,1.10,1.08
Control,Vault,Toronto Ultra,Beans,20,16,,2531,,Major 1,Online,Atlanta Faze,3-1,3,W,4,,1.06,,,1.25,572,557,1.03,1.24,0.95,1.03
Control,Vault,Toronto Ultra,Cleanx,25,18,,2485,,Major 1,Online,Atlanta Faze,3-1,3,W,4,,1.27,,,1.39,638,576,1.04,1.25,1.22,1.11
Control,Vault,Toronto Ultra,Insight,13,16,,2230,,Major 1,Online,Atlanta Faze,3-1,3,W,4,,0.89,,,0.81,486,532,0.92,1.11,0.85,0.91
Control,Vault,Toronto Ultra,JoeDeceives,20,20,,2713,,Major 1,Online,Atlanta Faze,3-1,3,W,4,,0.91,,,1.00,572,569,0.96,1.50,0.95,1.01
Hardpoint,Skyline,Atlanta Faze,Abezy,22,27,75,2816,,Major 1,Online,Toronto Ultra,178-250,4,L,,,1.11,0.81,,,531,526,1.00,1.07,1.00,1.01
Hardpoint,Skyline,Atlanta Faze,Cellium,19,27,79,3232,,Major 1,Online,Toronto Ultra,178-250,4,L,,,0.94,0.70,,,532,463,1.12,1.28,1.15,1.15
Hardpoint,Skyline,Atlanta Faze,Drazah,31,29,10,3882,,Major 1,Online,Toronto Ultra,178-250,4,L,,,0.90,1.07,,,520,525,1.09,0.75,0.90,0.99
Hardpoint,Skyline,Atlanta Faze,Simp,23,25,43,2830,,Major 1,Online,Toronto Ultra,178-250,4,L,,,0.93,0.92,,,536,496,1.07,1.07,1.10,1.08
Hardpoint,Skyline,Toronto Ultra,Beans,28,23,61,3417,,Major 1,Online,Atlanta Faze,250-178,4,W ,,,1.06,1.22,,,572,557,1.03,1.24,0.95,1.03
Hardpoint,Skyline,Toronto Ultra,Cleanx,33,25,98,3926,,Major 1,Online,Atlanta Faze,250-178,4,W ,,,1.27,1.32,,,638,576,1.04,1.25,1.22,1.11
Hardpoint,Skyline,Toronto Ultra,Insight,25,23,70,3679,,Major 1,Online,Atlanta Faze,250-178,4,W ,,,0.89,1.09,,,486,532,0.92,1.11,0.85,0.91
Hardpoint,Skyline,Toronto Ultra,JoeDeceives,22,24,72,2724,,Major 1,Online,Atlanta Faze,250-178,4,W ,,,0.91,0.92,,,572,569,0.96,1.50,0.95,1.01
Hardpoint,Skyline,Vegas Falcons,Exnid,22,30,23,4321,,Major 1,Online,Carolina Royal Ravens,179-250,1,L,,,0.90,0.73,,,478,521,0.85,0.93,1.05,0.92
Hardpoint,Skyline,Vegas Falcons,Khhx,27,23,110,3299,,Major 1,Online,Carolina Royal Ravens,179-250,1,L,,,1.21,1.17,,,284,238,1.22,1.25,1.12,1.19
Hardpoint,Skyline,Vegas Falcons,KingAbody,25,29,28,2954,,Major 1,Online,Carolina Royal Ravens,179-250,1,L,,,0.78,0.86,,,212,293,0.74,0.65,0.72,0.72
Hardpoint,Skyline,Vegas Falcons,Roxas,18,26,43,2683,,Major 1,Online,Carolina Royal Ravens,179-250,1,L,,,0.97,0.69,,,410,507,0.75,0.84,0.92,0.81
Hardpoint,Skyline,Carolina Royal Ravens,Gwinn,33,21,80,3090,,Major 1,Online,Vegas Falcons,250-179,1,W ,,,1.24,1.57,,,645,533,1.28,1.08,1.13,1.21
Hardpoint,Skyline,Carolina Royal Ravens,Slasher,29,24,80,3505,,Major 1,Online,Vegas Falcons,250-179,1,W ,,,1.23,1.21,,,552,531,1.11,1.05,0.90,1.04
Hardpoint,Skyline,Carolina Royal Ravens,TJHaly,22,23,99,2766,,Major 1,Online,Vegas Falcons,250-179,1,W ,,,0.88,0.96,,,599,562,1.01,1.19,1.14,1.07
Hardpoint,Skyline,Carolina Royal Ravens,Vivid,22,24,23,2669,,Major 1,Online,Vegas Falcons,250-179,1,W ,,,0.85,0.92,,,530,557,1.03,0.65,0.94,0.95
Search & Destroy,Skyline,Vegas Falcons,Exnid,5,5,,731,1,Major 1,Online,Carolina Royal Ravens,6-2,2,W,8,,0.90,,1.00,,478,521,0.85,0.93,1.05,0.92
Search & Destroy,Skyline,Vegas Falcons,Khhx,8,4,,1112,2,Major 1,Online,Carolina Royal Ravens,6-2,2,W,8,,1.21,,2.00,,284,238,1.22,1.25,1.12,1.19
Search & Destroy,Skyline,Vegas Falcons,KingAbody,5,6,,602,2,Major 1,Online,Carolina Royal Ravens,6-2,2,W,8,,0.78,,0.83,,212,293,0.74,0.65,0.72,0.72
